TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
534,411.061,758.908,18
534,411.508,758.769,19
534,411.916,758.823,20
534,411.574,758.698,21
534,411.301,758.601,22
534,411.21,758.826,23
534,410.706,758.345,24
534,410.403,757.036,25
534,409.601,757.323,26
534,410.64,756.531,27
534,410.185,756.756,28
534,409.681,756.774,29
534,409.691,756.767,30
534,410.545,756.119,31
534,410.535,755.488,32
534,410.53,755.668,33
534,410.523,755.794,34
534,410.945,755.95,35
534,411.074,755.993,36
534,414.507,755.464,37
534,415.23,754.999,38
534,415.811,754.928,39
534,415.244,754.442,40
534,415.078,754.457,41
534,415.677,754.959,42
534,415.765,754.873,43
534,416.471,754.917,44
534,416.666,754.748,45
534,416.308,754.894,46
534,416.534,755.014,47
534,417.066,754.881,48
534,416.624,755.189,49
534,418.03,755.342,50
534,418.004,754.897,51
534,417.973,755.435,52
534,418.6,755.498,53
534,418.617,755.413,54
534,417.559,755.076,55
534,416.789,755.016,56
534,415.917,754.951,57
534,415.513,755.72,58
534,415.683,755.139,59
534,417.098,754.845,60
534,417.724,755.013,61
534,417.291,754.431,62
534,416.753,754.344,63
534,417.483,754.502,64
534,417.771,754.603,65
534,417.946,754.867,66
534,418.371,754.539,67
534,418.263,754.582,68
534,418.138,754.184,69
534,418.194,754.175,70
534,418.436,754.173,71
534,418.474,754.112,72
534,418.674,753.763,73
534,418.748,753.611,74
534,418.742,753.528,75
534,418.773,753.803,76
534,418.263,753.766,77
534,417.902,753.81,78
534,417.784,753.806,79
534,417.591,754.067,80
534,417.675,753.908,81
534,418.102,753.648,82
534,419.309,753.386,83
534,420.305,752.71,84
534,417.186,753.891,85
534,416.263,754.478,86
534,418.014,753.19,87
534,420.412,753.21,88
534,426.84,751.481,89
534,436.485,746.834,90
534,441.149,746.027,91
534,446.02,745.351,92
534,451.904,743.425,93
534,455.729,740.596,94
534,461.386,738.087,95
534,466.225,735.711,96
534,469.877,733.093,97
534,472.811,729.272,98
534,477.707,725.549,99
534,482.23,725.093,100
534,486.917,723.985,101
534,492.242,721.968,102
534,496.209,720.963,103
534,500.133,718.928,104
534,505.009,718.121,105
541,786.208,750.893,0
541,786.208,750.893,1
541,786.194,750.847,2
541,786.627,750.676,3
541,786.615,750.472,4
541,786.088,750.514,5
541,785.804,750.569,6
541,786.498,750.542,7
541,786.438,750.193,8
541,786.009,750.064,9
541,786.001,750.053,10
541,786.577,750.399,11
541,787.277,750.69,12
541,787.126,750.329,13
541,786.321,750.261,14
541,786.129,750.298,15
541,786.692,750.336,16
541,786.844,750.504,17
541,786.936,750.659,18
541,787.039,750.829,19
541,787.156,750.623,20
541,786.728,751.117,21
541,786.273,750.701,22
541,786.151,750.83,23
541,785.753,751.033,24
541,785.521,749.308,25
541,785.009,749.631,26
541,785.66,748.895,27
541,785.654,748.908,28
541,784.833,749.247,29
541,784.681,749.074,30
541,785.041,748.62,31
541,785.914,747.874,32
541,786.548,747.401,33
541,786.007,748.39,34
541,786.19,748.608,35
541,786.641,748.269,36
541,789.728,748.299,37
541,790.359,747.455,38
541,791.738,747.449,39
541,791.456,747.398,40
541,790.941,747.756,41
541,791.209,747.943,42
541,791.158,747.63,43
541,791.493,747.933,44
541,791.744,747.901,45
541,790.652,747.673,46
541,791.473,748.087,47
541,793.004,747.662,48
541,793.221,748.035,49
541,794,748.15,50
541,794.103,747.915,51
541,793.661,748.057,52
541,794.801,748.094,53
541,794.948,748.159,54
541,793.397,747.536,55
541,792.56,747.019,56
541,791.523,747.027,57
541,790.687,747.686,58
541,791.387,747.028,59
541,792.424,747.078,60
541,793.367,747.697,61
541,792.915,747.364,62
541,792.366,746.945,63
541,793.123,747.079,64
541,793.54,746.971,65
541,793.566,747.34,66
541,793.729,747.534,67
541,793.725,747.212,68
541,793.878,745.883,69
541,793.832,746.156,70
541,794.428,746.472,71
541,793.774,747.172,72
541,793.822,747.061,73
541,793.721,746.8,74
541,794.058,745.92,75
541,793.949,745.56,76
541,793.944,745.461,77
541,793.531,745.758,78
541,793.057,745.637,79
541,792.647,745.988,80
541,792.739,745.89,81
541,793.467,745.445,82
541,793.996,745.33,83
541,795.189,744.91,84
541,794.828,744.888,85
541,793.903,745.337,86
541,793.967,745.696,87
541,794.757,745.712,88
541,796.29,745.797,89
541,797.252,744.825,90
541,796.869,745.206,91
541,796.821,745.813,92
541,796.606,746.226,93
541,796.36,746.558,94
541,796.426,746.319,95
541,796.454,746.098,96
541,796.818,745.572,97
541,797.811,746.332,98
541,798.006,746.873,99
541,798.388,747.019,100
541,798.12,747.428,101
541,798.107,747.275,102
541,797.897,747.35,103
541,798.034,747.423,104
541,798.485,747.679,105
541,798.887,747.514,106
541,799.242,747.745,107
541,799.094,747.123,108
541,799.189,746.915,109
541,799.315,746.757,110
541,799.097,746.571,111
541,799.317,747.086,112
541,798.898,746.743,113
541,798.827,747.086,114
